text,employment
대학교 다닐때 인공지능연구실 소속으로 교수님을 도와 직업체험이나 실습과제에서 조교로 활동하며 텐서플로우를 이용하여 손글씨 인식 예제와 레고블록 인식 예제를 실습하였고 4학년 교육과정에서 인공지능 강의를 듣다보니 관심을 가지게 되었습니다,
"서강대학교 창업 공모전을 진행하며 인공지능에 관심을 가지게 되었고 이후 경희대학교 데이터 분석 및 인공지능 동아리(KHUDA) 활동을 하며 인공지능에 대한 공부를 이어왔습니다.
3학년 2학기 데이터 분석 캡스톤 디자인에서 고객의 신용 정보를 통한 대출 여부를 예측하는 모델 생성과 대출 상품에 대한 추천을 진행하는 프로젝트를 진행했습니다. 예측과 추천 두 가지를 진행해야 하는 프로젝트였고, 데이터 테이블과 각 테이블 마다의 칼럼이 다수 존재했기에 데이터에 대한 깊은 이해가 필요했습니다. EDA를 바탕으로 데이터 테이블 각각의 특성을 이해했고 예측과 추천에 필요한 데이터를 선별, 정제하는 전처리 작업을 각각의 데이터 특성에 맞춰 진행하였습니다. 이후 신용 정보를 통한 예측 논문을 기반으로 XGBoost, random forest 등의 bagging, boosting 모델들을 사용해 정확도를 비교하는 과정을 진행하고, raw data, over, under sampling data(데이터 불균형 해소를 위해)들에 대하여 각각 모델들을 학습시켰습니다. 각 데이터와 모델은 precision, recall, F1 score를 비교하여 가장 정확도가 높은 데이터와 모델을 채택하였습니다. 채택된 모델은 grid search cv를 통해 하이퍼파라미터 조정과 cross validation까지 진행하는 과정을 거쳐 정확도 확보를 위해 노력했습니다. 예측 모델은 Cosine Similarity를 통해 각 유저들의 유사도를 구하여 비슷한 상품을 추천해주는 방식으로 구현하였는데, 이후 GNN을 통해 추천 방식을 고도화하는 연구를 진행했습니다. ",
요새 ai가 핫하다고 대학교 보다 코딩 스쿨이 좋다고 들어서 배울려고 합니다.,
"일전에 물류,무역부분에 종사하면서 SCM(공급망 관리)분야에서 업무 하였습니다.
각 데이터를 수집/분류/가공하여 분석하고, 이를 통해 비용절감 및 생산성 향상을 위한 기반을 구축하는 것에 흥미를 느꼈습니다.
나아가 축적된 데이터를 통해 추후 상황 전반을 선제적으로 예측하고, 예상 물량을 발주하는 등 각 팀에 필요 데이터를 적시에 제공하여 활용될 수 있는 방안을 제시하고 최적화하는 업무에 흥미를 갖게 되었습니다.
일정 상황 내의 다양한 객체를 검출하고, 행동을 인식하며 분석할 수 있는 알고리즘 및 시스템에 관하여 함께 학습하고 싶습니다.
현재는 독학으로 파이썬, SQL 및 정보처리기사를 학습하고 있습니다.
",success
" ChatGPT가 활성화되기 전부터 AI를 활용하여 인력풀을 대체하고자 생각했습니다. 과일의 작년, 재작년 빅데이터를 가져와서 기상과 도매 시세에 따른 가격을 분석하여 최상의 품질 및 다양한 품목들을 월, 주단위 배달 서비스를 구상. 반려동물을 잃어버렸을때 CNN 알고리즘을 이용하여 인터넷상의 유기동물의 이미지와 매칭시켜 찾아주는 서비스를 기획, 딥러닝의 역사부터 최신 알고리즘을 공부하고, 그중 유전 알고리즘과 경사함정을 어떻게 극복해야 하는지에 대한 기억이 깊게 남아있습니다.
 AI를 활용한 사업 아이템, 게임을 만들고자, 항상 마음한켠에 남아있던 열의에 대하여 체계적이고 심도 있는 과정을 통하여 제 자신에게 보상하고자 신청하게 되었습니다.",success
다음 스텝을 정하는데에 고민중에 있다가 지원하게 되었습니다. 데이터 사이언스는 이전에 캐글 등을 통해 도전해보려 했지만 조금 난이도가 있어 이번에는 아예 새로운 과정을 해보고자 합니다.,
"  석사 과정 때 머신러닝을 활용하여 한국인 근감소증 후성 유전자를 분석하였으며 근감소증 진단 성능이 높은 예측 및 진단 알고리즘을 제작하였습니다. 
  노인 인구 비율이 증가하면서 노인성 질환에 관심도가 높아지고 있습니다. 근감소증이 그중 하나입니다. 근감소증은 신체적 노쇠와 비슷한 개념으로 노화에 따른 근육량, 근력의 감소와 신체기능의 감소가 이루어지는 상태를 의미합니다. 노화에 따른 근육의 변화는 고정된 유전적 요인에 기인할 수 있지만, 환경적인 요인과 유전적 요인과의 상호작용으로도 발생합니다. 따라서 근감소증 후성유전학적 연구가 필요하지 만 이에 대한 연구는 아직 부족한 실정을 바탕으로 연구를 진행하였습니다. 한국인 유전체 데이터를 이용하여 근감소증과 DNA 메틸화의 연관성을 확인하였으며 한국인 근감소증 바이오마커를 발굴하고, 이후 유전체를 기반으로 머신러닝 알고리즘을 활용한 근감소증을 진단 및 예측할 수 있는 모델을 제작하였습니다. 2004년부터 2013년까지 한국인 유전체 및 역학 연구 (KoGES)의 데이터를 사용하였습니다. 아시아의 근감소증 기준을 이용하여 근감소증과 비근감소증 그룹을 나누었습니다. R 프로그램을 이용하여 그룹 간의 메틸화된 DNA probe를 확인하였고 남성에게서 99개의 과메틸화와 67개의 저메틸화가 확인되었으며 총 166개의 차등 메틸화 probe를 이용하여 근감소증 바이오마커를 식별하였습니다. 이후 파이썬을 통해 변수 데이터가 정규분포를 이루기 위해서 피어슨 상관계수를 사용하였으며 후에 재귀적 특징 제거 교차 검증(Recursive Feature Elimination Cross-Validation)을 사용하여 유의미한 변수를 확인하였습니다. 최종적으로 10개의 probe가 식별되었습니다. 이 10개의 probe를 majority voting 기법을 사용하여 근감소증 진단 모델을 구축했습니다. 이 앙상블 기법은 모델 성능을 개선하는 데 사용할 수 있고 단일 모델보다 더 나은 성능을 얻을 수 있는 기법이기 때문에 사용되었습니다. 분석을 위해 훈련 데이터 세트와 테스트 데이터 세트를 7:3으로 분할했습니다. 훈련 데이터 세트는 Decision Tree, Random Forest, Logistic Regression, K-Nearest Neighbors, Naive Bayes의 네 가지 알고리즘을 사용하여 학습하고, 사용된 개별 모델의 예측값을 합산하여 다수 득표 값을 도출했습니다. 마지막으로 테스트 데이터 세트를 사용하여 진단 모델을 평가하고 곡선 아래 면적(AUC) 값을 사용하여 진단 성능을 평가했습니다. 구축된 모델은 한국인의 근감소증 유전자 표현형을 식별하는 데 높은 정확도(96%)를 보였습니다. 노화가 근육량, 근력 및 전반적인 신체 기능의 감소와 관련이 있다는 점을 감안하여 확인된 10개의 probe를 이용하여 노화와의 상관관계를 확인하였습니다. 각 probe는 연령과의 연관성을 보였으며 이를 통해서 근감소증이 노인에게만 국한된 것이 아니라 중년층에서도 나타날 수 있다는 결과를 확인하였습니다. 이는 근감소증의 발병을 예방하거나 완화하기 위해 중년기에 근육 노화를 해결하는 것이 중요하다는 것을 강조할 수 있습니다.
본 연구를 통해서 머신러닝 기법을 활용하여 근감소증의 잠재적 유전적 바이오마커를 발굴하고, 근감소증 진단 성능이 높은 조기 예측 모델을 개발하는 데 성공하였습니다. 근감소증 예측 능력은 향상되었지만, 확인된 10개의 probe와 근감소증 간의 연관성을 밝히기 위해서는 세포 및 분자 생물학적 검증을 종합적으로 수행하는 것이 필요하다고 생각합니다. 따라서 본 연구는 근감소증의 잠재적 유전적 바이오마커는 한국인의 근감소증 위험의 근본적인 기전에 대한 귀중한 통찰력을 제공하고, 표적 중재를 위한 중요한 참고 자료가 될 것으로 시사됩니다. 
  이러한 연구 경험을 토대로 방대한 의료 데이터를 이용하여 질환 및 의료에 관한 대용량 DB 구축 및 알고리즘을 제작하여 의료 서비스 활용 방안을 제시할 수 있는 방향성을 확인하였습니다. 비록, 비전공자로서 스스로 습득하는 데 걸림돌이 되었지만, 학교 내 데이터사이언스 대학원에서 기초 지식과 이를 활용할 수 있는 수업을 수강하였습니다. 또한 부족한 부분은 개인적으로 시간을 할애하여 공부하였습니다. 그 결과 석사 과정을 수료하게 되었고 다양한 실제 의료 및 바이오 데이터를 활용하여 연구하고 싶은 꿈을 굳혔습니다. 꿈을 펼치기 위해서는 단단한 지반이 필요하다고 생각하여 본 프로그램에 참여하게 되었습니다. 
",success
결정적인 이유는 챗gpt가 수면위로 떠오르면서 매우 큰 관심을 가지게 됐습니다. 그 이후로 다양한 ai기능들이 우리 일상생활에 녹아들었다는 것을 깨닫고 관심이 더욱 커졌습니다. 관련 학습경험은 대학교에 재학중일 때 데이터베이스 강의를 수강했고 학점은행제에서 딥러닝 과목과 인공지능 과목을 수강했습니다. 재학중에 파이썬을 접해본적이 없어서 기초를 다지려고 인터넷강의로 파이썬을 조금 공부했습니다.,
"저에게는 AI 세계에 눈을 뜨게 해 준 두 가지 계기가 있습니다. 첫 번째는, VR 휴먼다큐멘터리에서 세상을 떠난 딸과 다시 만나는 감동적인 순간을 포착한 영상을 접한 것이었습니다. 이 경험은 저 또한 다양한 사람들에게 위로와 희망을 전달할 수 있는 AI를 개발하고자 하는 큰 열망을 불러일으켰습니다. 두 번째 계기는 아마존의 Amazon Go 식료품점 영상을 접한 후였습니다. 계산하는 카운터 없이 물건을 가져와도 자동으로 정확한 계산이 이루어지는 시스템에 인상을 받아 어릴 적부터 상상했던 미래적인 현실이 실현되는 공부에 흥미를 느껴 AI 분야에 진지하게 뛰어들게 되었습니다.
2021년에 교내 AI 동아리에 참가하여 공부를 시작하였습니다. Sung Kim 교수님의 모두의 딥러닝 강의를 통해 팀원들과 매주 모여 개념을 학습하고 문제를 해결하였습니다. 이 강의에서는 주로 팀별로 개념 2문제와 실습 3문제를 출제하고, 다른 팀과 번갈아 가며 문제를 풀어보는 시간을 가졌습니다. 또한 케라스 창시자에게 배우는 딥러닝이라는 책을 활용하여 컨퍼런스를 진행하였습니다. 이러한 활동을 통해 개념 강의에서 배웠던 코드를 직접 이해하며 구현해 보는 시간을 가졌습니다.
그리고 학부 연구생으로서 활동하면서 다음과 같은 경험을 쌓았습니다. 이안 굿펠로의 심층학습과 패스트캠퍼스의 딥러닝/인공지능 올인원 강의를 들으며 기본적인 지식을 확보하였습니다. 이를 기반으로 교수님과의 컨퍼런스 형태의 발표를 진행하고, 발표 후 피드백을 받는 시간을 가졌습니다. 또한, 데이터 분석 분야에서도 활동을 진행하였습니다. 퍼지와 매개 분석을 결합한  논문을 작성하였으며 Mediation and Fuzzy Mediation Analysis for Multiple Covariates and Its Applications to Solar Power Data(2021)’ 라는 제목으로 KIIS학회에서 발표하였습니다. 더불어, 공공조달 빅데이터 경진대회에서 퍼지 이론을 이용한 사후 평가 모델을 제안하고 아이디어 상을 수상하였으며, 이를 바탕으로 Post-Evaluation Model using Fuzzy Theory(2022)라는 제목으로 논문을 작성하고 같은 학회에서 성공적으로 발표하였습니다. 
이후, 2022년부터 4차 산업 연합동아리인 TAVE에서 컴퓨터 비전에 본격적으로 집중하며 학습했습니다 cs231n과 pytorch강의를 들으며 주기적인 피드백 시간을 가졌고 kaggle과 dacon 코드 리뷰 및 구현 시간을 가지며 코드에 대한 두려움을 없애기 위해 노력했습니다. 또한, 교내 AI 동아리에서 따로 팀을 만들어 Photogrammetry 스터디를 하면서 카메라의 눈으로 3D 공간좌표와 2D 영상좌표의 관계를 이해하고, nerf모델을 활용하여 3D공간을 시각화하는  플랭크현동  프로젝트를 진행했습니다.(https://github.com/ProtossDragoon/PlankHyundong)
여전히 코드에 두려움을 느꼈던 한계를 깨기 위해 학교에서 진행한 기계학습과 인공지능 수업을 수강하며 얼굴 표정을 통해 감정 분류하기 프로젝트, kaggle 점수 올리기 경쟁을 통해 코드 구현 능력을 견고히 길렀습니다. 이러한 노력을 통해 저만의 독립적인 아이디어와 능력을 발전시키며 성장하고자 노력하였습니다.

제가 AI스쿨에 지원한 이유는 다음과 같습니다. 첫째로, 프로젝트 경험을 통해 데이터의 중요성을 깨달았습니다. 이전에는 최신 모델 적용이 중요하다고 생각했지만 실제로는 데이터 처리와 분석 능력이 성능 향상에 결정적인 역할을 한다는 것을 깨달았습니다. AI스쿨에서 실무에서 활용되는 데이터 다루는 방법을 배우고 싶습니다. 둘째로, 기존 활동과 프로젝트를 통해 경험을 쌓았지만, 개념을 체계적으로 이해하고 자신만의 용어로 설명하는 능력이 부족하다고 느꼈습니다. 기본 개념부터 체계적인 학습을 통해 저의 진짜 실력을 향상시키고 싶습니다.",
알파고를 통해 관심을 가지게 되었는데 요새 나오는 자율 주행에 대해서도 관심이 생겨서 회사를 다니면서 독학을 하고 있습니다.,
